variable_combintion_num,AverageAccuracy,Series_ID
672,0.665384615,1
669,0.661538462,2
684,0.661538462,3
699,0.657692308,4
18,0.653846154,5
31,0.653846154,6
671,0.653846154,7
687,0.653846154,8
869,0.653846154,9
288,0.65,10
301,0.65,11
497,0.65,12
683,0.65,13
857,0.65,14
863,0.65,15
21,0.646153846,16
228,0.646153846,17
246,0.646153846,18
273,0.646153846,19
454,0.646153846,20
685,0.646153846,21
692,0.646153846,22
890,0.646153846,23
37,0.642307692,24
208,0.642307692,25
231,0.642307692,26
253,0.642307692,27
291,0.642307692,28
444,0.642307692,29
447,0.642307692,30
453,0.642307692,31
463,0.642307692,32
464,0.642307692,33
476,0.642307692,34
525,0.642307692,35
547,0.642307692,36
648,0.642307692,37
663,0.642307692,38
727,0.642307692,39
743,0.642307692,40
822,0.642307692,41
850,0.642307692,42
856,0.642307692,43
864,0.642307692,44
874,0.642307692,45
879,0.642307692,46
186,0.642307692,47
209,0.642307692,48
83,0.638461538,49
219,0.638461538,50
241,0.638461538,51
263,0.638461538,52
281,0.638461538,53
389,0.638461538,54
391,0.638461538,55
404,0.638461538,56
407,0.638461538,57
494,0.638461538,58
512,0.638461538,59
640,0.638461538,60
644,0.638461538,61
651,0.638461538,62
256,0.638461538,63
347,0.638461538,64
390,0.638461538,65
406,0.638461538,66
446,0.638461538,67
457,0.638461538,68
467,0.638461538,69
700,0.638461538,70
722,0.638461538,71
858,0.638461538,72
866,0.638461538,73
881,0.638461538,74
405,0.634615385,75
26,0.634615385,76
44,0.634615385,77
65,0.634615385,78
190,0.634615385,79
196,0.634615385,80
229,0.634615385,81
238,0.634615385,82
252,0.634615385,83
275,0.634615385,84
296,0.634615385,85
308,0.634615385,86
312,0.634615385,87
321,0.634615385,88
322,0.634615385,89
331,0.634615385,90
392,0.634615385,91
402,0.634615385,92
403,0.634615385,93
439,0.634615385,94
445,0.634615385,95
466,0.634615385,96
487,0.634615385,97
495,0.634615385,98
676,0.634615385,99
719,0.634615385,100
741,0.634615385,101
849,0.634615385,102
853,0.634615385,103
873,0.634615385,104
74,0.630769231,105
191,0.630769231,106
230,0.630769231,107
254,0.630769231,108
276,0.630769231,109
329,0.630769231,110
344,0.630769231,111
357,0.630769231,112
400,0.630769231,113
418,0.630769231,114
419,0.630769231,115
441,0.630769231,116
482,0.630769231,117
484,0.630769231,118
496,0.630769231,119
505,0.630769231,120
639,0.630769231,121
643,0.630769231,122
645,0.630769231,123
702,0.630769231,124
739,0.630769231,125
763,0.630769231,126
766,0.630769231,127
936,0.630769231,128
957,0.630769231,129
20,0.626923077,130
121,0.626923077,131
180,0.626923077,132
187,0.626923077,133
188,0.626923077,134
199,0.626923077,135
201,0.626923077,136
210,0.626923077,137
266,0.626923077,138
345,0.626923077,139
396,0.626923077,140
417,0.626923077,141
420,0.626923077,142
440,0.626923077,143
442,0.626923077,144
462,0.626923077,145
504,0.626923077,146
527,0.626923077,147
541,0.626923077,148
642,0.626923077,149
664,0.626923077,150
667,0.626923077,151
674,0.626923077,152
675,0.626923077,153
677,0.626923077,154
680,0.626923077,155
691,0.626923077,156
708,0.626923077,157
712,0.626923077,158
732,0.626923077,159
746,0.626923077,160
767,0.626923077,161
860,0.626923077,162
882,0.626923077,163
36,0.623076923,164
43,0.623076923,165
61,0.623076923,166
84,0.623076923,167
119,0.623076923,168
132,0.623076923,169
138,0.623076923,170
181,0.623076923,171
189,0.623076923,172
211,0.623076923,173
